Age,Experience,Family,Education,Personal Loan,Securities Account,CD Account,Online,CreditCard,Income,CCAvg,Mortgage
59,35,1,1,0,0,0,0,1,11333333,8400000,1000000
46,19,1,2,0,0,0,1,1,7999999,3670000,1000000
50,25,4,3,0,0,0,1,0,7916666,4600000,189000000
52,28,2,1,0,0,0,1,0,14583333,1400000,117000000
48,22,3,2,0,0,0,0,0,4500000,3200000,1000000
46,22,2,1,0,0,1,1,1,10833333,8500000,1000000
26,0,3,3,1,0,0,0,1,12000000,7499999,1000000
57,32,1,1,0,0,0,1,1,2999999,2300000,1000000
60,36,2,1,0,1,1,1,1,2833333,2000000,1000000
54,29,4,3,0,0,0,0,0,5833333,2300000,1000000
24,0,4,1,0,0,0,1,0,6000000,2600000,1000000
26,0,4,1,0,0,0,0,1,2250000,1400000,1000000
41,17,4,1,0,0,0,1,1,7916666,3670000,1000000
32,6,2,3,0,0,0,1,1,7583333,2500000,1000000
61,35,4,2,0,1,0,1,0,4416666,2700000,1000000
29,0,4,3,1,0,0,0,0,12166666,7499999,1000000
61,35,2,1,0,0,0,1,0,7666666,3800000,1000000
38,12,1,1,0,0,0,0,0,5333333,2999999,1000000
28,4,4,1,0,0,0,1,0,6833333,3600000,1000000
53,27,2,1,0,1,0,0,0,8666666,2100000,1000000
27,1,1,1,0,0,0,1,0,4583333,2500000,1000000
25,1,3,2,0,0,0,0,0,2750000,2000000,1000000
33,9,3,3,0,0,0,1,1,2916666,1900000,1000000
50,26,4,1,0,0,0,1,0,2083333,2000000,1000000
27,1,4,3,0,0,0,0,1,10333333,3100000,1000000
27,1,2,1,0,0,0,1,0,12500000,2999999,1000000
52,28,3,1,0,1,0,0,0,1916666,1400000,1000000
38,13,2,1,0,0,0,1,0,15249999,8800000,1000000
58,34,4,1,0,0,0,1,1,4500000,2500000,1000000
42,17,2,2,1,0,0,1,0,15000000,8900000,1000000
45,20,4,2,0,1,0,1,0,8083333,2100000,1000000
52,25,3,2,0,0,0,1,0,4666666,2000000,136000000
29,3,4,2,0,0,0,0,0,6416666,2800000,245000000
53,29,4,1,0,0,0,1,1,2999999,1200000,1000000
62,37,1,1,0,0,0,1,0,1916666,1100000,1000000
51,27,2,3,0,0,0,1,0,4166666,2000000,164999999
36,12,4,2,0,0,0,0,0,1833333,1700000,82000000
24,0,1,1,0,0,0,1,0,12250000,2500000,1000000
29,3,3,1,1,0,0,1,0,13333333,5100000,1000000
52,26,2,2,0,1,0,1,0,6250000,2500000,1000000
39,14,1,3,0,0,0,1,0,10583333,2000000,1000000
48,23,1,1,0,0,0,1,1,4750000,1300000,1000000
46,21,3,3,1,0,0,1,0,14250000,2900000,316000000
64,40,2,1,0,0,0,1,0,15083333,3100000,122999999
55,29,2,1,0,0,0,1,0,10333333,2400000,1000000
60,36,1,1,0,0,0,1,0,8750000,5300000,1000000
51,25,1,3,0,0,0,0,0,3416666,1300000,141000000
50,23,1,2,0,0,0,1,0,8083333,3670000,1000000
48,24,4,1,0,0,0,1,1,2750000,1600000,1000000
53,29,2,1,0,0,0,1,0,13000000,7800000,1000000
34,10,4,1,0,1,0,1,0,2083333,2000000,95999999
48,24,1,1,0,0,0,0,1,14750000,6000000,1000000
55,31,4,1,0,0,0,1,0,1750000,1700000,90000000
27,3,4,1,0,1,0,1,0,5916666,1000000,90999999
36,11,1,3,1,0,1,1,1,14166666,6100000,1000000
32,6,1,3,0,0,0,1,1,3416666,2900000,1000000
35,9,2,3,0,0,0,1,1,2666666,2400000,1000000
30,3,4,2,0,0,0,1,0,6666666,2999999,1000000
58,34,4,1,0,0,0,1,0,6416666,3200000,1000000
56,31,2,2,0,0,0,0,0,6083333,2900000,105999999
38,12,4,2,0,0,0,0,1,8583333,2400000,101000000
49,25,1,1,0,1,0,1,0,3583333,2000000,1000000
34,10,4,2,0,0,0,0,0,6916666,1100000,1000000
40,16,4,1,0,0,0,1,1,7083333,3670000,1000000
64,39,4,1,1,0,1,1,1,15333333,4099999,283000000
51,26,2,1,0,0,0,0,0,2666666,1000000,1000000
44,18,1,1,0,0,0,0,0,5583333,1200000,1000000
46,22,2,1,0,0,0,0,0,6749999,2700000,209999999
57,33,1,1,0,0,0,1,0,13916666,8400000,1000000
54,28,1,2,0,0,0,0,0,8833333,2900000,1000000
38,14,2,1,0,0,0,1,1,8666666,1000000,249999999
27,3,2,1,0,0,0,0,0,11416666,1600000,1000000
39,14,3,1,0,0,0,0,0,7166666,4000000,1000000
44,20,3,3,0,0,0,1,0,6999999,1300000,1000000
56,30,1,3,0,0,0,1,1,6083333,3200000,1000000
32,6,2,1,0,0,0,0,1,3083333,1300000,1000000
45,19,2,2,0,0,0,1,0,7916666,2700000,1000000
26,2,3,1,0,0,0,0,0,9666666,3500000,1000000
55,25,3,3,0,0,0,1,0,4416666,2000000,1000000
52,27,4,3,0,0,0,0,0,5833333,2800000,92000000
39,13,1,3,0,0,0,0,1,8750000,2500000,1000000
24,1,2,2,0,0,0,0,0,4250000,2700000,1000000
47,23,2,1,0,0,1,1,1,13333333,8500000,1000000
47,22,4,3,0,1,1,0,1,5416666,2900000,98999999
48,24,2,1,0,0,0,0,1,6916666,2700000,146000000
47,22,1,2,0,0,0,1,0,8666666,3800000,1000000
35,10,4,3,0,0,0,1,0,6083333,3100000,1000000
46,19,3,2,0,0,0,0,0,4166666,3500000,136000000
62,37,4,1,0,0,0,1,0,5833333,2700000,1000000
26,1,1,2,0,0,0,0,0,7666666,1800000,151000000
38,8,4,3,0,0,0,1,0,6916666,2800000,1000000
43,18,3,3,0,0,0,1,1,8416666,1500000,1000000
62,38,1,3,0,0,0,1,0,7916666,2800000,1000000
57,32,3,1,0,0,0,1,1,3333333,1200000,1000000
28,3,4,2,0,0,0,0,0,5333333,2700000,1000000
51,26,1,1,0,0,0,0,0,6833333,2200000,170000000
48,22,1,3,0,0,0,0,1,6916666,2400000,1000000
41,16,1,3,0,0,0,0,0,7250000,4700000,280999999
65,39,3,3,1,0,1,1,0,15166666,8900000,100000000
41,17,4,1,0,0,0,1,0,7499999,1800000,79000000
35,11,2,2,0,0,0,0,0,3083333,2000000,1000000
38,14,2,3,0,0,0,1,1,6000000,1600000,1000000
53,29,4,2,1,1,1,1,0,11000000,3700000,111999999
55,29,2,1,0,0,0,1,1,9250000,2400000,264999999
26,1,3,3,0,0,0,0,1,5583333,3600000,114000000
30,6,3,2,0,0,0,0,0,3416666,2000000,118000000
54,28,2,2,1,0,0,1,0,15166666,7200000,326000000
65,40,3,1,0,0,0,0,1,5416666,3200000,1000000
47,21,1,1,0,0,0,0,0,12500000,1000000,1000000
65,41,3,3,1,0,0,1,0,12166666,4900000,122000000
66,40,2,3,0,0,0,0,1,4500000,1700000,138999999
26,0,4,3,0,0,0,0,1,9250000,3300000,1000000
66,41,3,1,0,0,0,0,1,2500000,1500000,1000000
35,9,4,1,0,0,0,1,0,2999999,1300000,1000000
56,30,1,1,0,0,0,1,0,5583333,2400000,78000000
51,27,1,1,0,0,0,0,1,5833333,1000000,1000000
42,16,2,3,1,0,0,1,0,10250000,2200000,252000000
49,23,1,3,0,0,1,1,1,3750000,1300000,1000000
27,1,4,2,0,0,0,1,1,7166666,2800000,113000000
45,19,2,1,0,0,0,0,0,4166666,1700000,1000000
49,23,4,3,0,1,0,0,0,2916666,1600000,98999999
63,38,2,1,0,0,0,1,0,6083333,2500000,1000000
47,22,1,1,0,0,0,0,0,7749999,3899999,138999999
64,39,1,1,0,0,0,1,0,11750000,3500000,1000000
43,13,1,3,0,0,0,0,0,3750000,1750000,1000000
60,36,4,1,0,0,0,1,0,6250000,3200000,1000000
40,14,4,2,0,0,0,1,0,6833333,2400000,1000000
29,3,4,1,0,0,0,1,1,4750000,1200000,159000000
41,16,3,3,0,0,0,1,0,6416666,1500000,1000000
30,5,4,1,0,1,0,0,1,7166666,3200000,1000000
49,24,4,3,0,1,0,0,0,5166666,2800000,1000000
30,5,4,3,0,0,0,1,0,2833333,1500000,110000000
29,2,4,3,0,0,0,0,0,3500000,2000000,1000000
50,26,4,1,0,0,0,1,0,2750000,2000000,1000000
39,14,2,1,0,0,0,1,0,13916666,4900000,1000000
33,8,4,3,0,0,0,1,0,6333333,3100000,164999999
57,31,4,3,0,0,0,0,1,6416666,3600000,1000000
34,9,4,3,0,0,0,1,0,6916666,1700000,1000000
61,36,3,2,0,1,0,1,0,4333333,1500000,1000000
44,19,3,3,0,0,0,1,0,6749999,1500000,1000000
40,13,3,2,0,0,0,0,0,6749999,3330000,1000000
51,25,3,2,0,0,0,1,0,4750000,1600000,131999999
37,12,3,2,0,0,0,0,1,6166666,1700000,1000000
44,19,2,3,1,1,1,1,0,15333333,5300000,391999999
42,15,3,2,0,0,0,1,1,2999999,2000000,1000000
51,25,1,1,0,0,0,0,0,7666666,5900000,1000000
43,16,3,2,0,0,0,1,0,1666666,1670000,88999999
30,5,4,1,0,0,0,1,1,4166666,1800000,129999999
45,19,4,3,0,0,0,0,0,8750000,3600000,1000000
35,9,1,1,0,0,0,1,0,5583333,2999999,1000000
60,34,2,3,0,0,0,0,1,6333333,2700000,1000000
34,9,1,1,0,0,0,1,0,11166666,1000000,1000000
55,25,3,3,0,0,0,1,0,6833333,2400000,1000000
43,19,2,1,0,0,0,0,0,7749999,4200000,1000000
41,15,1,3,1,0,1,1,0,14250000,6499999,1000000
34,9,4,1,0,1,0,0,0,6833333,2300000,1000000
65,39,2,1,0,0,0,0,0,13500000,7900000,197000000
45,21,2,1,0,0,0,1,0,13666666,8500000,1000000
49,25,4,1,1,0,0,0,0,17250000,4000000,617999999
48,23,1,1,0,0,0,0,0,2833333,1100000,1000000
60,35,1,1,0,0,0,1,0,2833333,2300000,124000000
55,29,3,1,0,0,0,1,1,7583333,1800000,1000000
42,18,1,3,0,0,0,1,0,3750000,2400000,1000000
32,8,2,1,0,0,1,1,1,11666666,5330000,1000000
62,38,1,1,0,1,0,1,0,8583333,4800000,1000000
57,32,4,1,0,0,0,1,1,4250000,1900000,1000000
52,26,1,1,0,0,0,1,0,11083333,8300000,167999999
36,6,1,3,0,1,0,1,0,2750000,1670000,1000000
34,9,3,1,0,0,0,0,1,4416666,3300000,1000000
63,37,2,3,0,0,0,1,0,4750000,1700000,1000000
24,2,3,3,0,0,0,1,0,5250000,1300000,1000000
57,31,1,2,1,0,0,1,0,14750000,2600000,1000000
40,16,2,2,1,0,0,1,0,10916666,5200000,1000000
27,2,4,3,0,0,0,1,0,10166666,2800000,191000000
65,39,3,2,0,0,0,0,1,2666666,1700000,1000000
60,34,1,2,0,0,0,0,0,6333333,1800000,248999999
44,20,3,2,1,0,0,0,0,9416666,5399999,83000000
63,39,1,1,1,1,1,1,0,9416666,4900000,1000000
59,34,1,1,1,0,0,0,0,9250000,5399999,1000000
56,30,4,1,1,0,0,0,0,14166666,7100000,1000000
54,28,1,2,0,0,0,1,1,8416666,2900000,1000000
52,27,1,3,0,0,1,1,1,7666666,2300000,1000000
58,32,2,1,0,0,0,1,0,10500000,2999999,402999999
60,35,3,2,0,0,0,1,1,5083333,1500000,1000000
28,4,1,1,0,0,0,1,0,16916666,7330000,1000000
54,30,4,2,0,0,0,1,0,7499999,2000000,1000000
32,6,3,1,0,0,0,0,0,3333333,2000000,1000000
59,33,1,2,0,0,0,1,0,4500000,1800000,1000000
63,38,1,1,0,0,0,0,0,12666666,3500000,1000000
48,23,1,2,0,0,0,1,0,4750000,2300000,1000000
56,32,2,1,0,0,1,1,1,11166666,1300000,360999999
36,12,3,2,0,0,0,1,0,6416666,3600000,1000000
57,27,1,3,0,0,0,1,0,6666666,2400000,1000000
29,3,2,1,0,0,0,0,0,13750000,2999999,393000000
39,13,4,2,0,0,0,0,0,8416666,2400000,1000000
59,34,1,1,0,0,0,1,1,8583333,3600000,1000000
31,6,4,2,0,0,0,1,0,5583333,2999999,186000000
43,19,2,1,0,0,0,0,1,10833333,4300000,1000000
35,5,1,3,0,0,0,0,0,2833333,1670000,103999999
54,24,3,3,0,0,0,1,1,6250000,2400000,138999999
51,27,4,2,0,1,0,1,0,2000000,1500000,79000000
44,19,3,2,0,0,0,1,0,5166666,3700000,1000000
25,0,2,3,0,1,1,1,1,4583333,2600000,1000000
40,15,4,1,1,0,1,1,1,15416666,7599999,1000000
26,2,2,1,1,0,0,0,0,6000000,4000000,133000000
39,14,1,3,0,1,0,1,0,10416666,2000000,1000000
28,4,4,2,1,0,0,1,0,13916666,6299999,1000000
52,28,4,2,0,0,0,0,1,8583333,2000000,1000000
53,29,4,2,0,0,0,1,0,5583333,2100000,1000000
44,20,2,1,0,0,0,1,0,15416666,2400000,419999999
43,19,3,3,0,0,0,0,1,6916666,1300000,1000000
56,30,2,3,0,0,0,0,0,2999999,1400000,88999999
38,14,1,2,0,0,0,1,0,4500000,2999999,82000000
30,6,2,1,0,0,0,1,0,12750000,5330000,1000000
32,6,1,3,0,0,0,1,0,3666666,2900000,1000000
35,10,4,1,0,0,0,0,0,5583333,2300000,1000000
43,19,2,1,0,0,0,1,0,13750000,8500000,1000000
58,32,2,1,0,0,0,0,1,10416666,2400000,271000000
25,0,2,2,0,0,0,0,0,3500000,2700000,1000000
54,24,3,3,0,0,0,0,1,3416666,2000000,149000000
57,32,1,2,1,0,0,1,0,15499999,7800000,467000000
50,24,1,3,0,0,0,1,0,3916666,1300000,1000000
32,8,2,2,0,0,0,1,0,9166666,2999999,175999999
63,37,2,3,0,0,0,1,0,3500000,2000000,159999999
31,6,2,1,0,0,0,0,1,5833333,3500000,1000000
36,12,4,1,0,0,0,0,0,3083333,2000000,147999999
58,34,4,1,0,0,0,0,0,2583333,1700000,1000000
56,30,4,2,0,0,0,1,0,4666666,1700000,175000000
49,25,4,1,0,0,0,1,1,2666666,2000000,111999999
30,5,2,1,0,0,0,1,0,9166666,4099999,220999999
33,7,3,1,0,0,0,1,0,8500000,2600000,1000000
45,21,3,1,0,0,0,0,0,6083333,1700000,1000000
30,5,4,2,0,0,0,1,0,4333333,2999999,1000000
47,23,2,3,0,0,0,0,0,4166666,3100000,1000000
25,0,2,2,0,0,0,0,0,3333333,2700000,1000000
63,33,1,3,0,0,0,1,1,3833333,2500000,1000000
55,29,2,3,0,0,0,1,1,7083333,3300000,1000000
65,41,4,1,1,0,0,0,1,12083333,2999999,1000000
44,18,1,1,0,0,0,1,0,5416666,1200000,1000000
51,25,4,3,0,0,0,1,1,2750000,1600000,1000000
35,9,3,1,0,0,0,1,0,4333333,1900000,1000000
30,5,4,2,0,0,0,1,0,4416666,2700000,1000000
31,5,4,2,0,0,0,1,0,7833333,2800000,1000000
54,30,4,3,1,0,0,0,0,9333333,4400000,1000000
45,20,1,1,0,0,0,1,1,13916666,7999999,1000000
45,19,1,1,0,0,0,1,0,4750000,1200000,1000000
58,32,3,3,0,0,0,0,1,1750000,1300000,1000000
54,29,4,3,0,0,0,1,0,4999999,2800000,1000000
53,28,4,3,0,1,1,1,1,2500000,1100000,110000000
33,9,4,1,0,0,0,1,1,7666666,4400000,1000000
60,35,2,1,0,0,0,0,0,6333333,3800000,1000000
50,24,4,1,0,0,0,0,0,3416666,1100000,1000000
26,2,3,2,0,0,0,1,0,4999999,1700000,1000000
54,30,2,1,0,0,0,0,0,2916666,1400000,1000000
28,3,4,1,0,0,0,1,1,7999999,1200000,1000000
36,10,3,1,1,0,0,1,0,15916666,7599999,1000000
29,2,4,2,0,0,0,0,1,3500000,2500000,113000000
54,28,1,1,0,0,1,1,1,8750000,5900000,133999999
55,30,2,2,0,0,0,0,0,4250000,2900000,1000000
61,36,3,2,0,0,0,0,0,6000000,1500000,183000000
36,11,1,1,0,1,1,1,1,12083333,4800000,291000000
45,19,1,1,0,0,0,0,0,11416666,3400000,1000000
64,40,1,3,0,0,0,1,0,5833333,2800000,1000000
60,36,2,1,0,0,0,1,0,8416666,3800000,1000000
49,22,1,2,0,0,0,1,0,7833333,3670000,126000000
47,23,2,1,0,0,0,1,1,10166666,4300000,1000000
60,36,4,3,0,1,0,0,0,5500000,3300000,1000000
45,20,4,3,0,0,0,1,0,8416666,2900000,1000000
32,7,3,1,0,0,0,1,0,4500000,3300000,1000000
52,28,3,2,0,0,0,0,1,4416666,2900000,1000000
35,8,4,2,0,0,0,1,0,4166666,2000000,125000000
40,15,2,1,0,0,0,1,0,8083333,1400000,1000000
53,29,4,2,0,0,0,1,0,7916666,2000000,1000000
27,0,4,3,0,0,0,0,0,3750000,2000000,1000000
58,33,4,1,0,0,0,0,1,5166666,3100000,1000000
47,22,4,3,0,0,0,1,1,5833333,4600000,1000000
28,3,4,2,1,0,0,0,0,10583333,4099999,1000000
46,20,2,1,0,1,1,1,0,13083333,7300000,1000000
43,19,2,1,0,0,0,0,0,14416666,8500000,1000000
56,30,1,1,0,0,0,0,0,4166666,1200000,1000000
28,3,4,1,0,0,0,1,0,3333333,1800000,1000000
42,18,3,1,0,0,0,0,1,7250000,3330000,1000000
32,7,3,1,0,0,0,0,1,3916666,2300000,117000000
62,38,2,1,0,0,0,0,1,2999999,2000000,117000000
37,13,4,2,0,0,0,1,0,7499999,1100000,1000000
51,26,1,3,0,0,0,1,0,10416666,2300000,161999999
39,13,3,1,0,0,0,1,0,7250000,3100000,225000000
43,17,1,1,0,0,0,1,0,8583333,6700000,1000000
52,28,4,1,0,0,0,1,1,3583333,1200000,142000000
30,6,1,2,0,0,0,1,0,4750000,2800000,1000000
52,26,3,1,0,0,0,0,0,7666666,1800000,1000000
61,35,3,3,0,0,0,1,0,5166666,2400000,113000000
36,9,4,2,0,1,0,1,0,3583333,2000000,1000000
58,32,2,2,1,0,1,1,1,10416666,4800000,119999999
47,23,4,1,0,0,0,1,0,3416666,1600000,1000000
64,39,2,1,0,0,0,1,0,5916666,2500000,139999999
52,27,1,2,0,1,0,1,0,4583333,2300000,1000000
58,28,1,3,1,0,0,1,0,11166666,4000000,115999999
48,24,1,1,0,0,0,0,0,3416666,2000000,1000000
64,40,2,3,0,0,0,1,1,8583333,1000000,1000000
58,32,3,3,0,0,0,1,0,6416666,3200000,1000000
47,23,1,1,0,0,0,0,1,2833333,2000000,1000000
49,23,1,3,0,0,0,0,0,6916666,2400000,1000000
31,4,4,2,0,0,0,1,1,6000000,2999999,1000000
61,37,3,3,0,0,0,1,0,6000000,2999999,1000000
51,25,1,1,0,0,0,1,1,6749999,1300000,1000000
28,2,2,3,0,0,0,1,0,4999999,2750000,90000000
39,13,3,2,0,0,0,0,0,2750000,1200000,1000000
54,28,4,2,0,1,0,0,0,5416666,3800000,1000000
50,24,3,3,0,0,0,0,0,3416666,1900000,1000000
30,4,4,2,0,0,0,1,0,6000000,3200000,1000000
64,39,3,2,0,0,0,1,0,4500000,1500000,117000000
29,3,3,3,0,0,0,0,0,6749999,1300000,1000000
48,24,1,1,0,0,0,1,1,2666666,2000000,1000000
35,10,2,1,0,0,0,0,0,17666666,4000000,459000000
60,36,2,1,0,0,0,1,1,12750000,3100000,1000000
55,30,2,1,0,1,0,0,0,7749999,4700000,1000000
29,4,3,3,1,0,0,1,0,16250000,9300000,1000000
